lead_id,name,title,company,email,linkedin_url,lead_score,tier,company_score,stakeholder_score,decision_making_power,industry,company_size,products,materials,target_markets
LEAD-0001,FirstName4 LastName4,COO,"Lintec of America, Inc.",firstname4.lastname4@lintecofamerica.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics & Signage,Large,"['Signs', 'Displays']",['Film'],"['Corporate', 'Retail', 'Events']"
LEAD-0002,FirstName2 LastName2,Chief Marketing Officer,General Formulations,firstname2.lastname2@generalformulations.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics & Signage,Large,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0003,FirstName3 LastName3,Director of Technology,General Formulations,firstname3.lastname3@generalformulations.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics & Signage,Large,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0004,FirstName3 LastName3,Director of Marketing,"Lintec of America, Inc.",firstname3.lastname3@lintecofamerica.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics & Signage,Large,"['Signs', 'Displays']",['Film'],"['Corporate', 'Retail', 'Events']"
LEAD-0005,FirstName1 LastName1,Purchasing VP,General Formulations,firstname1.lastname1@generalformulations.com,,0.98,Tier 1,1.0,0.95,0.8,Graphics & Signage,Large,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0006,FirstName1 LastName1,Facility Manager,"Lintec of America, Inc.",firstname1.lastname1@lintecofamerica.com,,0.98,Tier 1,1.0,0.95,0.8,Graphics & Signage,Large,"['Signs', 'Displays']",['Film'],"['Corporate', 'Retail', 'Events']"
LEAD-0007,FirstName2 LastName2,Operations Manager,Arlon Graphics,firstname2.lastname2@arlon.com,,0.95,Tier 1,0.96,0.93,0.8,Graphics & Signage,Large,['Graphics'],"['Film', 'Adhesive']","['Corporate', 'Retail', 'Events']"
LEAD-0008,FirstName2 LastName2,VP of Sales,"Lintec of America, Inc.",firstname2.lastname2@lintecofamerica.com,,0.94,Tier 1,1.0,0.84,0.6,Graphics & Signage,Large,"['Signs', 'Displays']",['Film'],"['Corporate', 'Retail', 'Events']"
LEAD-0009,FirstName4 LastName4,Account Manager,General Formulations,firstname4.lastname4@generalformulations.com,,0.94,Tier 1,1.0,0.84,0.6,Graphics & Signage,Large,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0010,FirstName3 LastName3,VP of Marketing,Arlon Graphics,firstname3.lastname3@arlon.com,,0.92,Tier 1,0.96,0.87,0.7,Graphics & Signage,Large,['Graphics'],"['Film', 'Adhesive']","['Corporate', 'Retail', 'Events']"
LEAD-0011,FirstName1 LastName1,Project Manager,Arlon Graphics,firstname1.lastname1@arlon.com,,0.92,Tier 1,0.96,0.87,0.7,Graphics & Signage,Large,['Graphics'],"['Film', 'Adhesive']","['Corporate', 'Retail', 'Events']"
LEAD-0012,FirstName3 LastName3,CEO,Aludecor,firstname3.lastname3@aludecor.com,,0.92,Tier 1,0.9,0.95,0.9,Graphics & Signage,Medium,"['Signs', 'Displays']","['Aluminum', 'Composite']","['Corporate', 'Retail', 'Events']"
LEAD-0013,FirstName1 LastName1,Technical Director,"3A Composites USA, Inc.",firstname1.lastname1@3acompositesusa.com,,0.92,Tier 1,0.9,0.95,0.9,Graphics & Signage,Medium,"['Signs', 'Displays']",['Composite'],"['Corporate', 'Retail', 'Events']"
LEAD-0014,FirstName3 LastName3,Chief Financial Officer,"3A Composites USA, Inc.",firstname3.lastname3@3acompositesusa.com,,0.92,Tier 1,0.9,0.95,0.9,Graphics & Signage,Medium,"['Signs', 'Displays']",['Composite'],"['Corporate', 'Retail', 'Events']"
LEAD-0015,FirstName1 LastName1,Purchasing VP,ADMAX Exhibit & Display Ltd.,firstname1.lastname1@admaxdisplays.com,,0.9,Tier 1,0.9,0.89,0.8,Graphics & Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']",['Events']
LEAD-0016,FirstName2 LastName2,Facility Manager,Aludecor,firstname2.lastname2@aludecor.com,,0.9,Tier 1,0.9,0.89,0.8,Graphics & Signage,Medium,"['Signs', 'Displays']","['Aluminum', 'Composite']","['Corporate', 'Retail', 'Events']"
LEAD-0017,FirstName2 LastName2,Purchasing Manager,"3A Composites USA, Inc.",firstname2.lastname2@3acompositesusa.com,,0.9,Tier 1,0.9,0.89,0.8,Graphics & Signage,Medium,"['Signs', 'Displays']",['Composite'],"['Corporate', 'Retail', 'Events']"
