lead_id,name,title,company,email,linkedin_url,lead_score,tier,company_score,stakeholder_score,decision_making_power,industry,company_size,products,materials,target_markets,subject,body
LEAD-0001,FirstName2 LastName2,Owner,Home,firstname2.lastname2@home.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0002,FirstName2 LastName2,Creative Director,703-385-1335,firstname2.lastname2@703-385-1335.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0003,FirstName2 LastName2,Director of Marketing,Corporate  Printer,firstname2.lastname2@corporate printer.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0004,FirstName4 LastName4,Chief Operating Officer,703-385-1335,firstname4.lastname4@703-385-1335.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0005,FirstName4 LastName4,Chief Financial Officer,Become a Member,firstname4.lastname4@becomeamember.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0006,FirstName2 LastName2,Director of Sales,Need help logging in?,firstname2.lastname2@needhelploggingin?.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0007,FirstName1 LastName1,Creative Director,Need help registering for an event?,firstname1.lastname1@needhelpregisteringforanevent?.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0008,FirstName3 LastName3,Director of Sales,{{content.resetFilters}},firstname3.lastname3@{{content.resetfilters}}.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0009,FirstName2 LastName2,Co-Founder,Featured Exhibitors,firstname2.lastname2@featuredexhibitors.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0010,FirstName4 LastName4,Director of Sales,Home,firstname4.lastname4@home.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0011,FirstName1 LastName1,Purchasing VP,Corporate  Printer,firstname1.lastname1@corporate printer.com,,0.98,Tier 1,1.0,0.95,0.8,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0012,FirstName3 LastName3,Procurement Manager,Become a Member,firstname3.lastname3@becomeamember.com,,0.98,Tier 1,1.0,0.95,0.8,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0013,FirstName2 LastName2,VP of Purchasing,{{content.resetFilters}},firstname2.lastname2@{{content.resetfilters}}.com,,0.98,Tier 1,1.0,0.95,0.8,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0014,FirstName1 LastName1,Facility Manager,{{content.resetFilters}},firstname1.lastname1@{{content.resetfilters}}.com,,0.98,Tier 1,1.0,0.95,0.8,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0015,FirstName3 LastName3,VP of Purchasing,Featured Exhibitors,firstname3.lastname3@featuredexhibitors.com,,0.98,Tier 1,1.0,0.95,0.8,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0016,FirstName3 LastName3,Operations Manager,Home,firstname3.lastname3@home.com,,0.98,Tier 1,1.0,0.95,0.8,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0017,FirstName1 LastName1,Purchasing Manager,703-385-1335,firstname1.lastname1@703-385-1335.com,,0.98,Tier 1,1.0,0.95,0.8,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0018,FirstName2 LastName2,Production Manager,Your Details,firstname2.lastname2@yourdetails.com,,0.98,Tier 1,1.0,0.95,0.8,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0019,FirstName1 LastName1,Sourcing Manager,Your Details,firstname1.lastname1@yourdetails.com,,0.98,Tier 1,1.0,0.95,0.8,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0020,FirstName2 LastName2,Sourcing Manager,Need help registering for an event?,firstname2.lastname2@needhelpregisteringforanevent?.com,,0.98,Tier 1,1.0,0.95,0.8,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0021,FirstName1 LastName1,Purchasing VP,Need help logging in?,firstname1.lastname1@needhelploggingin?.com,,0.98,Tier 1,1.0,0.95,0.8,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0022,FirstName1 LastName1,Technical Manager,Home,firstname1.lastname1@home.com,,0.96,Tier 1,1.0,0.89,0.7,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0023,FirstName3 LastName3,Technical Manager,Need help registering for an event?,firstname3.lastname3@needhelpregisteringforanevent?.com,,0.96,Tier 1,1.0,0.89,0.7,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0024,FirstName4 LastName4,Brand Manager,{{content.resetFilters}},firstname4.lastname4@{{content.resetfilters}}.com,,0.96,Tier 1,1.0,0.89,0.7,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0025,FirstName1 LastName1,VP of Marketing,Become a Member,firstname1.lastname1@becomeamember.com,,0.96,Tier 1,1.0,0.89,0.7,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0026,FirstName2 LastName2,Technical Manager,Become a Member,firstname2.lastname2@becomeamember.com,,0.96,Tier 1,1.0,0.89,0.7,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0027,FirstName3 LastName3,Client Relations Manager,Your Details,firstname3.lastname3@yourdetails.com,,0.94,Tier 1,1.0,0.84,0.6,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0028,FirstName1 LastName1,Business Development Manager,Featured Exhibitors,firstname1.lastname1@featuredexhibitors.com,,0.94,Tier 1,1.0,0.84,0.6,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0029,FirstName4 LastName4,Business Development Manager,Need help registering for an event?,firstname4.lastname4@needhelpregisteringforanevent?.com,,0.94,Tier 1,1.0,0.84,0.6,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0030,FirstName1 LastName1,Director of Technology,register@printingunited.com,firstname1.lastname1@mailto:http:,,0.94,Tier 1,0.93,0.96,0.9,graphics,Medium,"['Graphics', 'Printed Materials']","['Vinyl', 'Film', 'Paper']","['Corporate', 'Retail', 'Events']",,
LEAD-0031,FirstName3 LastName3,Account Manager,703-385-1335,firstname3.lastname3@703-385-1335.com,,0.94,Tier 1,1.0,0.84,0.6,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0032,FirstName3 LastName3,Sales VP,Corporate  Printer,firstname3.lastname3@corporate printer.com,,0.94,Tier 1,1.0,0.84,0.6,Graphics and Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']",,
LEAD-0033,FirstName2 LastName2,Purchasing Manager,register@printingunited.com,firstname2.lastname2@mailto:http:,,0.92,Tier 1,0.93,0.91,0.8,graphics,Medium,"['Graphics', 'Printed Materials']","['Vinyl', 'Film', 'Paper']","['Corporate', 'Retail', 'Events']",,
