lead_id,name,title,company,email,linkedin_url,lead_score,tier,company_score,stakeholder_score,decision_making_power,industry,company_size,products,materials,target_markets
LEAD-0001,FirstName2 LastName2,Marketing Director,"Lintec of America, Inc.",firstname2.lastname2@lintecofamerica.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics & Signage,Large,"['Signs', 'Displays']",['Film'],"['Corporate', 'Retail', 'Events']"
LEAD-0002,FirstName3 LastName3,Director of Purchasing,"Lintec of America, Inc.",firstname3.lastname3@lintecofamerica.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics & Signage,Large,"['Signs', 'Displays']",['Film'],"['Corporate', 'Retail', 'Events']"
LEAD-0003,FirstName1 LastName1,Technical Director,General Formulations,firstname1.lastname1@generalformulations.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics & Signage,Large,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0004,FirstName3 LastName3,CFO,General Formulations,firstname3.lastname3@generalformulations.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics & Signage,Large,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0005,FirstName4 LastName4,Director of Operations,"Lintec of America, Inc.",firstname4.lastname4@lintecofamerica.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics & Signage,Large,"['Signs', 'Displays']",['Film'],"['Corporate', 'Retail', 'Events']"
LEAD-0006,FirstName1 LastName1,Sales Director,"Lintec of America, Inc.",firstname1.lastname1@lintecofamerica.com,,1.0,Tier 1,1.0,1.0,0.9,Graphics & Signage,Large,"['Signs', 'Displays']",['Film'],"['Corporate', 'Retail', 'Events']"
LEAD-0007,FirstName4 LastName4,Facility Manager,General Formulations,firstname4.lastname4@generalformulations.com,,0.98,Tier 1,1.0,0.95,0.8,Graphics & Signage,Large,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0008,FirstName1 LastName1,CFO,Arlon Graphics,firstname1.lastname1@arlon.com,,0.97,Tier 1,0.96,0.98,0.9,Graphics & Signage,Large,['Graphics'],"['Film', 'Adhesive']","['Corporate', 'Retail', 'Events']"
LEAD-0009,FirstName4 LastName4,Creative Director,Arlon Graphics,firstname4.lastname4@arlon.com,,0.97,Tier 1,0.96,0.98,0.9,Graphics & Signage,Large,['Graphics'],"['Film', 'Adhesive']","['Corporate', 'Retail', 'Events']"
LEAD-0010,FirstName2 LastName2,Purchasing Manager,Arlon Graphics,firstname2.lastname2@arlon.com,,0.95,Tier 1,0.96,0.93,0.8,Graphics & Signage,Large,['Graphics'],"['Film', 'Adhesive']","['Corporate', 'Retail', 'Events']"
LEAD-0011,FirstName2 LastName2,VP of Sales,General Formulations,firstname2.lastname2@generalformulations.com,,0.94,Tier 1,1.0,0.84,0.6,Graphics & Signage,Large,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0012,FirstName2 LastName2,Director of Technology,Aludecor,firstname2.lastname2@aludecor.com,,0.92,Tier 1,0.9,0.95,0.9,Graphics & Signage,Medium,"['Signs', 'Displays']","['Aluminum', 'Composite']","['Corporate', 'Retail', 'Events']"
LEAD-0013,FirstName3 LastName3,Project Manager,Arlon Graphics,firstname3.lastname3@arlon.com,,0.92,Tier 1,0.96,0.87,0.7,Graphics & Signage,Large,['Graphics'],"['Film', 'Adhesive']","['Corporate', 'Retail', 'Events']"
